STEP;TIME;CAR;LEADER;LEADER_DISTANCE;DRIVING_DISTANCE;TCP_DUMP_MSGS;SIGNAL_STRENGTH
147;14.7s;car2;No leader;No leader;85.6073007347747;[];-60@car2-wlan1
148;14.8s;car1;car3;28.384535205368522;146.53769770058167;[];-60@car1-wlan1
148;14.8s;car2;No leader;No leader;85.85174735245639;[];-60@car2-wlan1
149;14.9s;car1;car3;28.585053145313005;147.84100457070332;[];-60@car1-wlan1
149;14.9s;car2;No leader;No leader;86.0798975289593;[];-60@car2-wlan1
150;15.0s;car1;car3;28.785571085257487;149.14431144082494;[];-60@car1-wlan1
150;15.0s;car2;No leader;No leader;86.29197627689076;[];-60@car2-wlan1
151;15.1s;car1;car3;28.98608902520197;150.44761831094658;[];-60@car1-wlan1
151;15.1s;car2;No leader;No leader;86.48890654282714;[];-60@car2-wlan1
152;15.2s;car1;car3;29.186606965146453;151.7509251810682;[];-60@car1-wlan1
152;15.2s;car2;No leader;No leader;86.67177036119662;[];-60@car2-wlan1
153;15.3s;car1;car3;29.38712490509094;153.0542320511898;[];-60@car1-wlan1
153;15.3s;car2;No leader;No leader;86.84078802571997;[];-60@car2-wlan1
154;15.4s;car1;car3;29.587642845035425;154.35753892131146;[];-60@car1-wlan1
154;15.4s;car2;No leader;No leader;86.99680433143382;[];-60@car2-wlan1
155;15.5s;car1;car3;29.788160784979908;155.66084579143308;[];-60@car1-wlan1
155;15.5s;car2;No leader;No leader;87.14081938286199;[];-60@car2-wlan1
156;15.6s;car1;car3;29.988678724924398;156.9641526615547;[];-60@car1-wlan1
156;15.6s;car2;No leader;No leader;87.27358443429014;[];-60@car2-wlan1
157;15.7s;car1;car3;30.189196664868888;158.26745953167634;[];-60@car1-wlan1
157;15.7s;car2;No leader;No leader;87.39528573143264;[];-60@car2-wlan1
158;15.8s;car1;car3;30.38971460481337;159.57076640179795;[];-60@car1-wlan1
158;15.8s;car2;No leader;No leader;87.50684525381325;[];-60@car2-wlan1
